Longitude,Latitude,District,Stability,Rainfall,Vegetation,River_Dist,Slope,Ground_Truth,Predicted
106.694608,-6.669179,Sukaraja,0.28,5287.68,0.22,13.04,2.63,1,1
106.515509,-6.686613,Cibungbulang,0.05,5337.2,0.08,22.47,17.74,0,0
106.601415,-6.583632,Dramaga,0.18,5065.84,0.22,18.0,4.63,0,0
106.548023,-6.686113,Ciampea,0.04,5337.2,0.14,31.0,26.33,0,0
106.958265,-6.593308,Gunung Putri,0.04,4091.94,0.13,8.0,22.12,0,0
106.995976,-6.66641,Cileungsi,0.03,4281.54,0.06,78.64,28.87,0,0
106.836259,-6.591976,Citeureup,0.52,4768.57,0.14,3.61,0.93,1,1
106.943623,-6.523888,Jonggol,0.04,3951.63,0.21,40.31,22.04,0,0
106.878499,-6.522727,Sukamakmur,0.28,4368.2,0.18,36.07,2.63,1,1
106.817831,-6.58259,Citeureup,0.26,4768.57,0.08,3.0,2.78,1,1
106.701968,-6.664664,Cibinong,0.12,5708.01,0.16,15.0,7.23,0,0
106.849984,-6.636007,Sukaraja,0.1,4717.31,0.14,3.61,8.54,0,0
106.750095,-6.699256,Babakan Madang,0.06,5889.08,0.04,23.0,16.56,0,0
106.961628,-6.5435,Jonggol,0.12,3702.62,0.25,24.76,7.04,0,0
106.510123,-6.560912,Leuwiliang,0.07,4717.9,0.18,9.9,13.51,0,0
106.56677,-6.675236,Ciampea,0.04,5200.7,0.17,21.21,22.23,0,0
106.928974,-6.611235,Gunung Putri,0.04,4462.33,0.08,47.3,21.3,0,0
106.997374,-6.520176,Cileungsi,0.1,3702.62,0.29,26.0,9.24,0,0
106.539993,-6.515593,Leuwisadeng,0.03,4541.62,0.13,34.21,31.66,0,0
106.612258,-6.55422,Cijeruk,0.1,5065.84,0.19,8.0,8.78,0,0
106.870404,-6.687052,Sukaraja,0.18,4458.88,0.09,10.0,4.66,0,0
106.904202,-6.542224,Jonggol,0.08,3951.63,0.24,46.53,11.76,0,0
106.8232,-6.642423,Sukaraja,0.12,5529.04,0.14,5.0,7.47,0,0
106.873417,-6.63827,Sukaraja,0.18,4717.31,0.17,45.61,4.63,0,0
106.982584,-6.5216,Jonggol,0.08,3702.62,0.19,53.31,12.32,0,0
106.709604,-6.655919,Cibinong,0.18,5708.01,0.14,13.0,4.64,0,0
106.685716,-6.509116,Babakan Madang,0.25,5034.14,0.17,16.76,2.95,1,1
106.501007,-6.597064,Ciampea,0.1,4717.9,0.17,4.0,8.78,0,0
106.902573,-6.631021,Sukaraja,0.08,4462.33,0.11,25.71,12.1,0,0
106.878659,-6.618883,Sukaraja,0.13,4717.31,0.19,15.0,6.53,0,0
106.649884,-6.6892,Cibinong,0.17,5168.98,0.12,2.0,5.01,0,1
106.857386,-6.61176,Sukaraja,0.18,4717.31,0.21,1.0,4.65,0,0
106.618892,-6.656715,Cibinong,0.11,5168.98,0.1,2.0,7.96,0,0
106.773532,-6.54128,Babakan Madang,0.09,5124.68,0.15,20.12,9.95,0,0
106.705568,-6.658986,Cibinong,0.05,5708.01,0.19,2.0,19.58,0,0
106.663667,-6.612826,Cibinong,0.43,5074.58,0.14,12.0,1.32,1,1
106.844503,-6.506864,Babakan Madang,0.35,4388.44,0.12,18.38,1.87,1,0
106.612038,-6.615431,Cibinong,0.04,5098.36,0.17,3.61,25.71,0,0
106.71063,-6.576894,Cijeruk,0.16,5483.16,0.18,9.9,5.25,0,0
106.656314,-6.646224,Cibinong,0.33,5074.58,0.21,6.4,2.08,1,1
106.583539,-6.599927,Ciampea,0.13,5091.43,0.15,21.93,6.69,0,0
106.976564,-6.60288,Jonggol,0.03,4318.33,0.08,14.21,29.12,0,0
106.629668,-6.525867,Babakan Madang,0.06,4875.82,0.18,11.0,14.39,0,0
106.54065,-6.5111,Ciampea,0.03,4541.62,0.14,20.52,36.37,0,0
106.968789,-6.6458,Jonggol,0.11,4318.33,0.06,25.0,8.39,0,0
106.583078,-6.512047,Ciampea,0.04,4811.53,0.15,6.0,27.06,0,0
106.874126,-6.548272,Jonggol,0.13,4368.2,0.23,3.61,6.51,0,0
106.902187,-6.643314,Sukaraja,0.1,4462.33,0.11,35.85,9.11,0,0
106.896151,-6.690811,Sukaraja,0.09,4458.88,0.1,20.25,10.52,0,0
106.612133,-6.536483,Cijeruk,0.07,4875.82,0.16,4.0,13.46,0,0
